

--- Server Started at 2024-04-27T19:38:59.143Z ---
2024-04-27T19:39:00.161Z - Humidity: 60%, Temperature: 25C, Analog output: 725
2024-04-27T20:00:25.171Z - Humidity: 64%, Temperature: 24C, Analog output: 730
2024-04-27T20:00:35.210Z - Humidity: 62%, Temperature: 24C, Analog output: 728
2024-04-27T20:00:45.253Z - Humidity: 63%, Temperature: 25C, Analog output: 728
2024-04-27T20:00:55.291Z - Humidity: 64%, Temperature: 25C, Analog output: 729
2024-04-27T20:01:05.330Z - Humidity: 63%, Temperature: 24C, Analog output: 726
2024-04-27T20:01:15.368Z - Humidity: 62%, Temperature: 25C, Analog output: 736
2024-04-27T20:01:25.407Z - Humidity: 63%, Temperature: 25C, Analog output: 740
2024-04-27T20:01:35.445Z - Humidity: 63%, Temperature: 25C, Analog output: 751
2024-04-27T20:01:45.484Z - Humidity: 64%, Temperature: 23C, Analog output: 732
2024-04-27T20:01:55.523Z - Humidity: 64%, Temperature: 23C, Analog output: 727
2024-04-27T20:02:05.565Z - Humidity: 63%, Temperature: 23C, Analog output: 732
2024-04-27T20:02:15.603Z - Humidity: 64%, Temperature: 25C, Analog output: 732
2024-04-27T20:02:25.642Z - Humidity: 63%, Temperature: 23C, Analog output: 730
2024-04-27T20:02:35.681Z - Humidity: 63%, Temperature: 24C, Analog output: 747
2024-04-27T20:02:45.719Z - Humidity: 64%, Temperature: 23C, Analog output: 729
2024-04-27T20:02:55.758Z - Humidity: 64%, Temperature: 25C, Analog output: 729
2024-04-27T20:03:05.797Z - Humidity: 64%, Temperature: 24C, Analog output: 734
2024-04-27T20:03:15.836Z - Humidity: 64%, Temperature: 24C, Analog output: 730
2024-04-27T20:03:25.874Z - Humidity: 67%, Temperature: 25C, Analog output: 730
2024-04-27T20:03:35.913Z - Humidity: 66%, Temperature: 25C, Analog output: 730
2024-04-27T20:03:45.956Z - Humidity: 65%, Temperature: 25C, Analog output: 736
2024-04-27T20:03:55.994Z - Humidity: 64%, Temperature: 23C, Analog output: 730
2024-04-27T20:04:06.032Z - Humidity: 65%, Temperature: 24C, Analog output: 719
2024-04-27T20:04:16.071Z - Humidity: 65%, Temperature: 25C, Analog output: 728
2024-04-27T20:04:26.109Z - Humidity: 64%, Temperature: 24C, Analog output: 730
2024-04-27T20:04:36.148Z - Humidity: 65%, Temperature: 24C, Analog output: 736
2024-04-27T20:04:46.186Z - Humidity: 65%, Temperature: 23C, Analog output: 730
2024-04-27T20:04:56.225Z - Humidity: 64%, Temperature: 24C, Analog output: 730
2024-04-27T20:05:06.264Z - Humidity: 65%, Temperature: 23C, Analog output: 728
2024-04-27T20:05:16.303Z - Humidity: 64%, Temperature: 24C, Analog output: 730
2024-04-27T20:05:26.346Z - Humidity: 64%, Temperature: 23C, Analog output: 730
2024-04-27T20:05:36.384Z - Humidity: 64%, Temperature: 23C, Analog output: 729
2024-04-27T20:05:46.423Z - Humidity: 64%, Temperature: 24C, Analog output: 741
2024-04-27T20:05:56.463Z - Humidity: 64%, Temperature: 24C, Analog output: 754
2024-04-27T20:06:06.502Z - Humidity: 65%, Temperature: 25C, Analog output: 740
2024-04-27T20:06:16.540Z - Humidity: 65%, Temperature: 24C, Analog output: 731
2024-04-27T20:06:26.579Z - Humidity: 64%, Temperature: 24C, Analog output: 730
2024-04-27T20:06:36.616Z - Humidity: 64%, Temperature: 24C, Analog output: 759
2024-04-27T20:06:46.656Z - Humidity: 63%, Temperature: 24C, Analog output: 730
2024-04-27T20:06:56.695Z - Humidity: 64%, Temperature: 25C, Analog output: 766
2024-04-27T20:07:06.733Z - Humidity: 64%, Temperature: 25C, Analog output: 729
2024-04-27T20:07:16.775Z - Humidity: 65%, Temperature: 25C, Analog output: 734
2024-04-27T20:07:26.814Z - Humidity: 64%, Temperature: 24C, Analog output: 729
2024-04-27T20:07:36.852Z - Humidity: 65%, Temperature: 25C, Analog output: 729
2024-04-27T20:07:46.891Z - Humidity: 64%, Temperature: 24C, Analog output: 734
2024-04-27T20:07:56.930Z - Humidity: 66%, Temperature: 24C, Analog output: 731
2024-04-27T20:08:06.968Z - Humidity: 66%, Temperature: 24C, Analog output: 731
2024-04-27T20:08:17.008Z - Humidity: 65%, Temperature: 24C, Analog output: 733
2024-04-27T20:08:27.045Z - Humidity: 65%, Temperature: 24C, Analog output: 726
2024-04-27T20:08:37.084Z - Humidity: 65%, Temperature: 24C, Analog output: 756
2024-04-27T20:08:47.123Z - Humidity: 65%, Temperature: 24C, Analog output: 762
2024-04-27T20:08:57.161Z - Humidity: 68%, Temperature: 24C, Analog output: 728
2024-04-27T20:09:07.200Z - Humidity: 66%, Temperature: 23C, Analog output: 730
2024-04-27T20:09:17.238Z - Humidity: 66%, Temperature: 23C, Analog output: 735
2024-04-27T20:09:27.281Z - Humidity: 65%, Temperature: 24C, Analog output: 734
2024-04-27T20:09:37.320Z - Humidity: 66%, Temperature: 23C, Analog output: 736
2024-04-27T20:09:47.358Z - Humidity: 66%, Temperature: 24C, Analog output: 732
2024-04-27T20:09:57.397Z - Humidity: 66%, Temperature: 23C, Analog output: 733
2024-04-27T20:10:07.436Z - Humidity: 67%, Temperature: 24C, Analog output: 731
2024-04-27T20:10:17.474Z - Humidity: 68%, Temperature: 24C, Analog output: 732
2024-04-27T20:10:27.513Z - Humidity: 67%, Temperature: 25C, Analog output: 732
2024-04-27T20:10:37.551Z - Humidity: 67%, Temperature: 24C, Analog output: 740
2024-04-27T20:10:47.590Z - Humidity: 69%, Temperature: 25C, Analog output: 754
2024-04-27T20:10:57.628Z - Humidity: 67%, Temperature: 23C, Analog output: 767
2024-04-27T20:11:07.671Z - Humidity: 67%, Temperature: 24C, Analog output: 746
2024-04-27T20:11:17.710Z - Humidity: 68%, Temperature: 23C, Analog output: 745
2024-04-27T20:11:27.748Z - Humidity: 68%, Temperature: 23C, Analog output: 731
2024-04-27T20:11:37.787Z - Humidity: 67%, Temperature: 24C, Analog output: 738
2024-04-27T20:11:47.826Z - Humidity: 68%, Temperature: 23C, Analog output: 736
2024-04-27T20:11:57.865Z - Humidity: 68%, Temperature: 24C, Analog output: 726
2024-04-27T20:12:07.903Z - Humidity: 69%, Temperature: 23C, Analog output: 731
2024-04-27T20:12:17.942Z - Humidity: 68%, Temperature: 24C, Analog output: 728
2024-04-27T20:12:27.980Z - Humidity: 69%, Temperature: 24C, Analog output: 775
2024-04-27T20:12:38.023Z - Humidity: 67%, Temperature: 23C, Analog output: 733
2024-04-27T20:12:48.062Z - Humidity: 69%, Temperature: 24C, Analog output: 731
2024-04-27T20:12:58.100Z - Humidity: 67%, Temperature: 25C, Analog output: 756
2024-04-27T20:13:08.139Z - Humidity: 67%, Temperature: 23C, Analog output: 736
2024-04-27T20:13:18.177Z - Humidity: 67%, Temperature: 23C, Analog output: 733
2024-04-27T20:13:28.216Z - Humidity: 67%, Temperature: 24C, Analog output: 730
2024-04-27T20:13:38.255Z - Humidity: 69%, Temperature: 23C, Analog output: 732
2024-04-27T20:13:48.294Z - Humidity: 67%, Temperature: 23C, Analog output: 732
2024-04-27T20:13:58.332Z - Humidity: 67%, Temperature: 24C, Analog output: 735
2024-04-27T20:14:08.374Z - Humidity: 67%, Temperature: 25C, Analog output: 734
2024-04-27T20:14:18.413Z - Humidity: 68%, Temperature: 24C, Analog output: 733
2024-04-27T20:14:28.451Z - Humidity: 67%, Temperature: 24C, Analog output: 755
2024-04-27T20:14:38.490Z - Humidity: 68%, Temperature: 23C, Analog output: 731
2024-04-27T20:14:48.528Z - Humidity: 68%, Temperature: 23C, Analog output: 732
2024-04-27T20:14:58.567Z - Humidity: 70%, Temperature: 23C, Analog output: 748
2024-04-27T20:15:08.604Z - Humidity: 68%, Temperature: 24C, Analog output: 732
2024-04-27T20:15:18.644Z - Humidity: 69%, Temperature: 23C, Analog output: 755
2024-04-27T20:15:28.683Z - Humidity: 68%, Temperature: 23C, Analog output: 731
2024-04-27T20:15:38.726Z - Humidity: 69%, Temperature: 24C, Analog output: 733
2024-04-27T20:15:48.764Z - Humidity: 67%, Temperature: 24C, Analog output: 752
2024-04-27T20:15:58.803Z - Humidity: 68%, Temperature: 24C, Analog output: 734
2024-04-27T20:16:08.841Z - Humidity: 68%, Temperature: 24C, Analog output: 735
2024-04-27T20:16:18.881Z - Humidity: 68%, Temperature: 24C, Analog output: 752
2024-04-27T20:16:28.919Z - Humidity: 68%, Temperature: 24C, Analog output: 747
2024-04-27T20:16:38.958Z - Humidity: 68%, Temperature: 25C, Analog output: 730
2024-04-27T20:16:48.996Z - Humidity: 69%, Temperature: 23C, Analog output: 732
2024-04-27T20:16:59.035Z - Humidity: 69%, Temperature: 24C, Analog output: 718
2024-04-27T20:17:09.073Z - Humidity: 68%, Temperature: 24C, Analog output: 732
2024-04-27T20:17:19.112Z - Humidity: 68%, Temperature: 24C, Analog output: 731
2024-04-27T20:17:29.155Z - Humidity: 68%, Temperature: 24C, Analog output: 728
2024-04-27T20:17:39.193Z - Humidity: 68%, Temperature: 24C, Analog output: 732
2024-04-27T20:17:49.232Z - Humidity: 69%, Temperature: 24C, Analog output: 732
2024-04-27T20:17:59.270Z - Humidity: 69%, Temperature: 24C, Analog output: 733
2024-04-27T20:18:09.308Z - Humidity: 70%, Temperature: 24C, Analog output: 732
2024-04-27T20:18:19.348Z - Humidity: 69%, Temperature: 24C, Analog output: 749
2024-04-27T20:18:29.387Z - Humidity: 68%, Temperature: 24C, Analog output: 755
2024-04-27T20:18:39.425Z - Humidity: 68%, Temperature: 25C, Analog output: 734
2024-04-27T20:18:49.464Z - Humidity: 68%, Temperature: 23C, Analog output: 743
2024-04-27T20:18:59.503Z - Humidity: 67%, Temperature: 24C, Analog output: 732
2024-04-27T20:19:09.544Z - Humidity: 68%, Temperature: 24C, Analog output: 739
2024-04-27T20:19:19.583Z - Humidity: 69%, Temperature: 24C, Analog output: 734
2024-04-27T20:19:29.621Z - Humidity: 67%, Temperature: 23C, Analog output: 734
2024-04-27T20:19:39.660Z - Humidity: 68%, Temperature: 23C, Analog output: 736
2024-04-27T20:19:49.699Z - Humidity: 66%, Temperature: 24C, Analog output: 758
2024-04-27T20:19:59.738Z - Humidity: 68%, Temperature: 23C, Analog output: 744
2024-04-27T20:20:09.776Z - Humidity: 70%, Temperature: 23C, Analog output: 740
2024-04-27T20:20:19.815Z - Humidity: 68%, Temperature: 24C, Analog output: 732
2024-04-27T20:20:29.853Z - Humidity: 68%, Temperature: 23C, Analog output: 763
2024-04-27T20:20:39.896Z - Humidity: 68%, Temperature: 23C, Analog output: 741
2024-04-27T20:20:49.935Z - Humidity: 67%, Temperature: 24C, Analog output: 756
2024-04-27T20:20:59.974Z - Humidity: 68%, Temperature: 24C, Analog output: 735
2024-04-27T20:21:10.012Z - Humidity: 69%, Temperature: 23C, Analog output: 766
2024-04-27T20:21:20.051Z - Humidity: 70%, Temperature: 24C, Analog output: 750
2024-04-27T20:21:30.089Z - Humidity: 68%, Temperature: 24C, Analog output: 739
2024-04-27T20:21:40.128Z - Humidity: 69%, Temperature: 24C, Analog output: 734
2024-04-27T20:21:50.167Z - Humidity: 68%, Temperature: 23C, Analog output: 730
2024-04-27T20:22:00.205Z - Humidity: 68%, Temperature: 24C, Analog output: 773
2024-04-27T20:22:10.244Z - Humidity: 67%, Temperature: 23C, Analog output: 744
2024-04-27T20:22:20.282Z - Humidity: 67%, Temperature: 24C, Analog output: 734
2024-04-27T20:22:30.325Z - Humidity: 68%, Temperature: 24C, Analog output: 732
2024-04-27T20:22:40.363Z - Humidity: 69%, Temperature: 23C, Analog output: 734
2024-04-27T20:22:50.402Z - Humidity: 68%, Temperature: 24C, Analog output: 741
2024-04-27T20:23:00.441Z - Humidity: 69%, Temperature: 23C, Analog output: 735
2024-04-27T20:23:10.479Z - Humidity: 69%, Temperature: 25C, Analog output: 735
2024-04-27T20:23:20.518Z - Humidity: 67%, Temperature: 24C, Analog output: 753
2024-04-27T20:23:30.556Z - Humidity: 66%, Temperature: 24C, Analog output: 734
2024-04-27T20:23:40.595Z - Humidity: 66%, Temperature: 23C, Analog output: 733
2024-04-27T20:23:50.634Z - Humidity: 69%, Temperature: 24C, Analog output: 736
2024-04-27T20:24:00.677Z - Humidity: 69%, Temperature: 23C, Analog output: 734
2024-04-27T20:24:10.715Z - Humidity: 68%, Temperature: 24C, Analog output: 735
2024-04-27T20:24:20.754Z - Humidity: 69%, Temperature: 24C, Analog output: 755
2024-04-27T20:24:30.792Z - Humidity: 69%, Temperature: 25C, Analog output: 734
2024-04-27T20:24:40.831Z - Humidity: 68%, Temperature: 24C, Analog output: 733
2024-04-27T20:24:50.869Z - Humidity: 69%, Temperature: 23C, Analog output: 767
2024-04-27T20:25:00.907Z - Humidity: 68%, Temperature: 24C, Analog output: 735
2024-04-27T20:25:10.947Z - Humidity: 69%, Temperature: 24C, Analog output: 745
2024-04-27T20:25:20.986Z - Humidity: 69%, Temperature: 24C, Analog output: 740
2024-04-27T20:25:31.024Z - Humidity: 69%, Temperature: 24C, Analog output: 734
2024-04-27T20:25:41.067Z - Humidity: 69%, Temperature: 24C, Analog output: 757
2024-04-27T20:25:51.105Z - Humidity: 70%, Temperature: 24C, Analog output: 734
2024-04-27T20:26:01.144Z - Humidity: 69%, Temperature: 23C, Analog output: 736
2024-04-27T20:26:11.183Z - Humidity: 69%, Temperature: 24C, Analog output: 734
2024-04-27T20:26:21.221Z - Humidity: 67%, Temperature: 25C, Analog output: 743
2024-04-27T20:26:31.260Z - Humidity: 69%, Temperature: 24C, Analog output: 735
2024-04-27T20:26:41.298Z - Humidity: 68%, Temperature: 24C, Analog output: 733
2024-04-27T20:26:51.337Z - Humidity: 68%, Temperature: 24C, Analog output: 734
2024-04-27T20:27:01.376Z - Humidity: 70%, Temperature: 23C, Analog output: 734
2024-04-27T20:27:11.414Z - Humidity: 70%, Temperature: 23C, Analog output: 735
2024-04-27T20:27:21.457Z - Humidity: 69%, Temperature: 23C, Analog output: 734
2024-04-27T20:27:31.495Z - Humidity: 71%, Temperature: 23C, Analog output: 736
2024-04-27T20:27:41.534Z - Humidity: 71%, Temperature: 23C, Analog output: 733
2024-04-27T20:27:51.573Z - Humidity: 72%, Temperature: 23C, Analog output: 735
2024-04-27T20:28:01.611Z - Humidity: 69%, Temperature: 23C, Analog output: 760
2024-04-27T20:28:11.650Z - Humidity: 69%, Temperature: 24C, Analog output: 755
2024-04-27T20:28:21.689Z - Humidity: 69%, Temperature: 23C, Analog output: 735
2024-04-27T20:28:31.727Z - Humidity: 69%, Temperature: 24C, Analog output: 738
2024-04-27T20:28:41.766Z - Humidity: 68%, Temperature: 23C, Analog output: 740
2024-04-27T20:28:51.808Z - Humidity: 69%, Temperature: 25C, Analog output: 737
2024-04-27T20:29:01.847Z - Humidity: 70%, Temperature: 24C, Analog output: 759
2024-04-27T20:29:11.886Z - Humidity: 71%, Temperature: 23C, Analog output: 736
2024-04-27T20:29:21.925Z - Humidity: 69%, Temperature: 24C, Analog output: 733
2024-04-27T20:29:31.963Z - Humidity: 71%, Temperature: 23C, Analog output: 750
2024-04-27T20:29:42.002Z - Humidity: 69%, Temperature: 23C, Analog output: 739
2024-04-27T20:29:52.040Z - Humidity: 70%, Temperature: 23C, Analog output: 734
2024-04-27T20:30:02.079Z - Humidity: 70%, Temperature: 23C, Analog output: 736
2024-04-27T20:30:12.117Z - Humidity: 71%, Temperature: 24C, Analog output: 733
2024-04-27T20:30:22.160Z - Humidity: 68%, Temperature: 24C, Analog output: 778
2024-04-27T20:30:32.199Z - Humidity: 68%, Temperature: 24C, Analog output: 732
2024-04-27T20:30:42.237Z - Humidity: 68%, Temperature: 23C, Analog output: 732
2024-04-27T20:30:52.276Z - Humidity: 68%, Temperature: 24C, Analog output: 734
2024-04-27T20:31:02.315Z - Humidity: 68%, Temperature: 23C, Analog output: 733
2024-04-27T20:31:12.353Z - Humidity: 68%, Temperature: 25C, Analog output: 738
2024-04-27T20:31:22.392Z - Humidity: 68%, Temperature: 24C, Analog output: 738
2024-04-27T20:31:32.430Z - Humidity: 68%, Temperature: 24C, Analog output: 736
2024-04-27T20:31:42.469Z - Humidity: 68%, Temperature: 24C, Analog output: 755
2024-04-27T20:31:52.507Z - Humidity: 70%, Temperature: 23C, Analog output: 744
2024-04-27T20:32:02.546Z - Humidity: 68%, Temperature: 24C, Analog output: 739
2024-04-27T20:32:12.588Z - Humidity: 67%, Temperature: 24C, Analog output: 734
2024-04-27T20:32:22.627Z - Humidity: 67%, Temperature: 25C, Analog output: 735
2024-04-27T20:32:32.666Z - Humidity: 67%, Temperature: 24C, Analog output: 738
2024-04-27T20:32:42.704Z - Humidity: 69%, Temperature: 23C, Analog output: 737
2024-04-27T20:32:52.743Z - Humidity: 69%, Temperature: 24C, Analog output: 736
