2024-04-27T19:38:01.620Z - Humidity: 60%, Temperature: 24C, Analog output: 723
2024-04-28T07:27:27.762Z - Humidity: 94%, Temperature: 21C, Analog output: 873
2024-04-28T07:27:37.801Z - Humidity: 95%, Temperature: 22C, Analog output: 856
2024-04-28T07:27:47.840Z - Humidity: 93%, Temperature: 20C, Analog output: 849
2024-04-28T07:27:57.878Z - Humidity: 95%, Temperature: 22C, Analog output: 880
2024-04-28T07:28:07.917Z - Humidity: 93%, Temperature: 20C, Analog output: 854
2024-04-28T07:28:17.960Z - Humidity: 93%, Temperature: 20C, Analog output: 887
2024-04-28T07:28:27.998Z - Humidity: 93%, Temperature: 20C, Analog output: 854
2024-04-28T07:28:38.037Z - Humidity: 94%, Temperature: 21C, Analog output: 859
2024-04-28T07:28:48.076Z - Humidity: 94%, Temperature: 21C, Analog output: 865
2024-04-28T07:28:58.114Z - Humidity: 94%, Temperature: 21C, Analog output: 856
2024-04-28T07:29:08.153Z - Humidity: 93%, Temperature: 20C, Analog output: 852
2024-04-28T07:29:18.191Z - Humidity: 93%, Temperature: 20C, Analog output: 855
2024-04-28T07:29:28.234Z - Humidity: 94%, Temperature: 21C, Analog output: 886
2024-04-28T07:29:38.273Z - Humidity: 94%, Temperature: 21C, Analog output: 865
2024-04-28T07:29:48.311Z - Humidity: 94%, Temperature: 21C, Analog output: 888
2024-04-28T07:29:58.351Z - Humidity: 94%, Temperature: 21C, Analog output: 855
2024-04-28T07:30:08.388Z - Humidity: 94%, Temperature: 21C, Analog output: 870
2024-04-28T07:30:18.427Z - Humidity: 93%, Temperature: 20C, Analog output: 859
2024-04-28T07:30:28.466Z - Humidity: 94%, Temperature: 21C, Analog output: 853
2024-04-28T07:30:38.509Z - Humidity: 94%, Temperature: 21C, Analog output: 857
2024-04-28T07:30:48.547Z - Humidity: 94%, Temperature: 21C, Analog output: 854
2024-04-28T07:30:58.586Z - Humidity: 94%, Temperature: 21C, Analog output: 856
2024-04-28T07:31:08.624Z - Humidity: 93%, Temperature: 20C, Analog output: 869
2024-04-28T07:31:18.662Z - Humidity: 93%, Temperature: 20C, Analog output: 859
2024-04-28T07:31:28.701Z - Humidity: 93%, Temperature: 20C, Analog output: 856
2024-04-28T07:31:38.739Z - Humidity: 94%, Temperature: 21C, Analog output: 859
2024-04-28T07:31:48.782Z - Humidity: 93%, Temperature: 20C, Analog output: 855
2024-04-28T07:31:58.821Z - Humidity: 93%, Temperature: 20C, Analog output: 857
2024-04-28T07:32:08.861Z - Humidity: 95%, Temperature: 22C, Analog output: 852
2024-04-28T07:32:18.899Z - Humidity: 94%, Temperature: 21C, Analog output: 851
2024-04-28T07:32:28.938Z - Humidity: 93%, Temperature: 20C, Analog output: 853
2024-04-28T07:32:38.977Z - Humidity: 94%, Temperature: 21C, Analog output: 856
2024-04-28T07:32:49.015Z - Humidity: 94%, Temperature: 21C, Analog output: 881
2024-04-28T07:32:59.058Z - Humidity: 94%, Temperature: 21C, Analog output: 872
2024-04-28T07:33:09.097Z - Humidity: 94%, Temperature: 21C, Analog output: 862


--- Server Started at 2024-04-28T07:33:09.643Z ---
2024-04-28T07:33:10.660Z - Humidity: 94%, Temperature: 21C, Analog output: 861
2024-04-28T07:33:20.699Z - Humidity: 93%, Temperature: 20C, Analog output: 853
2024-04-28T07:33:30.737Z - Humidity: 94%, Temperature: 21C, Analog output: 855
2024-04-28T07:33:40.776Z - Humidity: 95%, Temperature: 22C, Analog output: 856
2024-04-28T07:33:50.814Z - Humidity: 94%, Temperature: 21C, Analog output: 858
2024-04-28T07:34:00.857Z - Humidity: 95%, Temperature: 22C, Analog output: 869
2024-04-28T07:34:10.897Z - Humidity: 94%, Temperature: 21C, Analog output: 885
2024-04-28T07:34:20.936Z - Humidity: 94%, Temperature: 21C, Analog output: 864
2024-04-28T07:34:30.974Z - Humidity: 93%, Temperature: 20C, Analog output: 856


--- Server Started at 2024-04-28T07:34:33.808Z ---
2024-04-28T07:34:34.823Z - Humidity: 93%, Temperature: 20C, Analog output: 863
2024-04-28T07:34:44.863Z - Humidity: 93%, Temperature: 20C, Analog output: 856
2024-04-28T07:34:54.904Z - Humidity: 94%, Temperature: 21C, Analog output: 854
2024-04-28T07:35:04.943Z - Humidity: 93%, Temperature: 20C, Analog output: 855
2024-04-28T07:35:14.982Z - Humidity: 94%, Temperature: 21C, Analog output: 857
2024-04-28T07:35:25.020Z - Humidity: 94%, Temperature: 21C, Analog output: 870
2024-04-28T07:35:35.059Z - Humidity: 94%, Temperature: 21C, Analog output: 852
2024-04-28T07:35:45.099Z - Humidity: 94%, Temperature: 21C, Analog output: 855
2024-04-28T07:35:55.140Z - Humidity: 93%, Temperature: 20C, Analog output: 858
2024-04-28T07:36:05.180Z - Humidity: 93%, Temperature: 20C, Analog output: 851


--- Server Started at 2024-04-28T07:36:06.456Z ---
2024-04-28T07:36:07.472Z - Humidity: 94%, Temperature: 21C, Analog output: 860
2024-04-28T07:36:17.510Z - Humidity: 93%, Temperature: 20C, Analog output: 887
2024-04-28T07:36:27.554Z - Humidity: 93%, Temperature: 20C, Analog output: 853
2024-04-28T07:36:37.592Z - Humidity: 95%, Temperature: 22C, Analog output: 879
2024-04-28T07:36:47.631Z - Humidity: 94%, Temperature: 21C, Analog output: 855
2024-04-28T07:36:57.669Z - Humidity: 94%, Temperature: 21C, Analog output: 869
2024-04-28T07:37:09.034Z - Humidity: 95%, Temperature: 22C, Analog output: 849
2024-04-28T07:37:17.746Z - Humidity: 95%, Temperature: 22C, Analog output: 876
2024-04-28T07:37:27.790Z - Humidity: 93%, Temperature: 20C, Analog output: 854
2024-04-28T07:37:37.828Z - Humidity: 93%, Temperature: 20C, Analog output: 848
2024-04-28T07:37:47.867Z - Humidity: 94%, Temperature: 21C, Analog output: 855
2024-04-28T07:37:57.906Z - Humidity: 93%, Temperature: 20C, Analog output: 856
2024-04-28T07:38:07.944Z - Humidity: 94%, Temperature: 21C, Analog output: 856
2024-04-28T07:38:17.983Z - Humidity: 94%, Temperature: 21C, Analog output: 854
2024-04-28T07:38:28.021Z - Humidity: 93%, Temperature: 20C, Analog output: 894
2024-04-28T07:38:38.064Z - Humidity: 93%, Temperature: 20C, Analog output: 851
2024-04-28T07:38:48.103Z - Humidity: 95%, Temperature: 22C, Analog output: 853
2024-04-28T07:38:58.141Z - Humidity: 93%, Temperature: 20C, Analog output: 851
2024-04-28T07:39:08.179Z - Humidity: 93%, Temperature: 20C, Analog output: 879
2024-04-28T07:39:18.218Z - Humidity: 94%, Temperature: 21C, Analog output: 855
2024-04-28T07:39:28.257Z - Humidity: 95%, Temperature: 22C, Analog output: 870
2024-04-28T07:39:38.300Z - Humidity: 94%, Temperature: 21C, Analog output: 857
2024-04-28T07:39:48.338Z - Humidity: 94%, Temperature: 21C, Analog output: 862
2024-04-28T07:39:58.376Z - Humidity: 94%, Temperature: 21C, Analog output: 855
2024-04-28T07:40:08.415Z - Humidity: 94%, Temperature: 21C, Analog output: 857
2024-04-28T07:40:18.453Z - Humidity: 95%, Temperature: 22C, Analog output: 852
2024-04-28T07:40:28.492Z - Humidity: 95%, Temperature: 22C, Analog output: 856
2024-04-28T07:40:38.530Z - Humidity: 95%, Temperature: 22C, Analog output: 855
2024-04-28T07:40:48.573Z - Humidity: 93%, Temperature: 20C, Analog output: 853
2024-04-28T07:40:58.612Z - Humidity: 93%, Temperature: 20C, Analog output: 856
2024-04-28T07:41:08.651Z - Humidity: 93%, Temperature: 20C, Analog output: 855
2024-04-28T07:41:18.689Z - Humidity: 93%, Temperature: 20C, Analog output: 867
2024-04-28T07:41:28.728Z - Humidity: 94%, Temperature: 21C, Analog output: 854
2024-04-28T07:41:38.766Z - Humidity: 93%, Temperature: 20C, Analog output: 854
2024-04-28T07:41:48.804Z - Humidity: 94%, Temperature: 21C, Analog output: 875
2024-04-28T07:41:58.847Z - Humidity: 94%, Temperature: 21C, Analog output: 873
2024-04-28T07:42:08.886Z - Humidity: 95%, Temperature: 22C, Analog output: 858
2024-04-28T07:42:18.925Z - Humidity: 93%, Temperature: 20C, Analog output: 855
2024-04-28T07:42:28.963Z - Humidity: 95%, Temperature: 22C, Analog output: 858
2024-04-28T07:42:39.002Z - Humidity: 94%, Temperature: 21C, Analog output: 866
2024-04-28T07:42:49.041Z - Humidity: 94%, Temperature: 21C, Analog output: 860
2024-04-28T07:42:59.079Z - Humidity: 93%, Temperature: 20C, Analog output: 895
2024-04-28T07:43:09.121Z - Humidity: 94%, Temperature: 21C, Analog output: 863
2024-04-28T07:43:19.160Z - Humidity: 93%, Temperature: 20C, Analog output: 858
2024-04-28T07:43:29.199Z - Humidity: 94%, Temperature: 21C, Analog output: 865
2024-04-28T07:43:39.238Z - Humidity: 93%, Temperature: 20C, Analog output: 857


--- Server Started at 2024-04-28T07:43:47.500Z ---
2024-04-28T07:43:48.515Z - Humidity: 94%, Temperature: 21C, Analog output: 882
2024-04-28T07:43:58.553Z - Humidity: 94%, Temperature: 21C, Analog output: 896
2024-04-28T07:44:08.596Z - Humidity: 94%, Temperature: 21C, Analog output: 858
2024-04-28T07:44:18.635Z - Humidity: 93%, Temperature: 20C, Analog output: 871
2024-04-28T07:44:28.673Z - Humidity: 94%, Temperature: 21C, Analog output: 867
2024-04-28T07:44:38.712Z - Humidity: 94%, Temperature: 21C, Analog output: 854
2024-04-28T07:44:48.750Z - Humidity: 93%, Temperature: 20C, Analog output: 858
2024-04-28T07:44:58.790Z - Humidity: 95%, Temperature: 22C, Analog output: 892
2024-04-28T07:45:08.828Z - Humidity: 93%, Temperature: 20C, Analog output: 857
2024-04-28T07:45:18.870Z - Humidity: 94%, Temperature: 21C, Analog output: 858
2024-04-28T07:45:28.909Z - Humidity: 94%, Temperature: 21C, Analog output: 854
2024-04-28T07:45:38.947Z - Humidity: 93%, Temperature: 20C, Analog output: 855
2024-04-28T07:45:48.986Z - Humidity: 93%, Temperature: 20C, Analog output: 857
2024-04-28T07:45:59.025Z - Humidity: 93%, Temperature: 20C, Analog output: 856
2024-04-28T07:46:09.063Z - Humidity: 94%, Temperature: 21C, Analog output: 858
2024-04-28T07:46:19.106Z - Humidity: 93%, Temperature: 20C, Analog output: 853
2024-04-28T07:46:29.145Z - Humidity: 93%, Temperature: 20C, Analog output: 868
2024-04-28T07:46:39.183Z - Humidity: 93%, Temperature: 20C, Analog output: 862
2024-04-28T07:46:49.222Z - Humidity: 93%, Temperature: 20C, Analog output: 859
2024-04-28T07:46:59.260Z - Humidity: 93%, Temperature: 20C, Analog output: 876
2024-04-28T07:47:09.299Z - Humidity: 94%, Temperature: 21C, Analog output: 859
2024-04-28T07:47:19.337Z - Humidity: 93%, Temperature: 20C, Analog output: 859
2024-04-28T07:47:29.376Z - Humidity: 93%, Temperature: 20C, Analog output: 866
2024-04-28T07:47:39.419Z - Humidity: 94%, Temperature: 21C, Analog output: 875
2024-04-28T07:47:49.457Z - Humidity: 94%, Temperature: 21C, Analog output: 859
2024-04-28T07:47:59.496Z - Humidity: 94%, Temperature: 21C, Analog output: 851


--- Server Started at 2024-04-28T07:52:18.363Z ---
2024-04-28T07:52:19.383Z - Humidity: 94%, Temperature: 21C, Analog output: 861
2024-04-28T07:52:29.420Z - Humidity: 95%, Temperature: 22C, Analog output: 858
2024-04-28T07:52:39.459Z - Humidity: 94%, Temperature: 21C, Analog output: 857
2024-04-28T07:52:49.498Z - Humidity: 94%, Temperature: 21C, Analog output: 859
2024-04-28T07:52:59.537Z - Humidity: 94%, Temperature: 21C, Analog output: 857
2024-04-28T07:53:09.579Z - Humidity: 94%, Temperature: 21C, Analog output: 865
2024-04-28T07:53:19.617Z - Humidity: 95%, Temperature: 22C, Analog output: 866
2024-04-28T07:53:29.656Z - Humidity: 94%, Temperature: 21C, Analog output: 864
2024-04-28T07:53:39.695Z - Humidity: 95%, Temperature: 22C, Analog output: 874
2024-04-28T07:53:49.733Z - Humidity: 93%, Temperature: 20C, Analog output: 858
2024-04-28T07:53:59.772Z - Humidity: 93%, Temperature: 20C, Analog output: 868
2024-04-28T07:54:09.814Z - Humidity: 95%, Temperature: 22C, Analog output: 858
2024-04-28T07:54:19.854Z - Humidity: 94%, Temperature: 21C, Analog output: 855
2024-04-28T07:54:29.893Z - Humidity: 94%, Temperature: 21C, Analog output: 856
2024-04-28T07:54:39.932Z - Humidity: 95%, Temperature: 22C, Analog output: 886
2024-04-28T07:54:49.970Z - Humidity: 93%, Temperature: 20C, Analog output: 792
2024-04-28T07:55:00.008Z - Humidity: 93%, Temperature: 20C, Analog output: 860
2024-04-28T07:55:10.047Z - Humidity: 94%, Temperature: 21C, Analog output: 856
2024-04-28T07:55:20.090Z - Humidity: 93%, Temperature: 20C, Analog output: 857
2024-04-28T07:55:30.127Z - Humidity: 93%, Temperature: 20C, Analog output: 856
2024-04-28T07:55:40.167Z - Humidity: 94%, Temperature: 21C, Analog output: 863
2024-04-28T07:55:50.204Z - Humidity: 94%, Temperature: 21C, Analog output: 864
2024-04-28T07:56:00.243Z - Humidity: 95%, Temperature: 22C, Analog output: 847
2024-04-28T07:56:10.281Z - Humidity: 93%, Temperature: 20C, Analog output: 852
2024-04-28T07:56:20.324Z - Humidity: 94%, Temperature: 21C, Analog output: 852
2024-04-28T07:56:30.363Z - Humidity: 95%, Temperature: 22C, Analog output: 855
2024-04-28T07:56:40.401Z - Humidity: 93%, Temperature: 20C, Analog output: 851
2024-04-28T07:56:50.440Z - Humidity: 95%, Temperature: 22C, Analog output: 856
2024-04-28T07:57:00.479Z - Humidity: 93%, Temperature: 20C, Analog output: 892
2024-04-28T07:57:10.517Z - Humidity: 94%, Temperature: 21C, Analog output: 863
2024-04-28T07:57:20.555Z - Humidity: 95%, Temperature: 22C, Analog output: 857
2024-04-28T07:57:30.598Z - Humidity: 94%, Temperature: 21C, Analog output: 851
2024-04-28T07:57:40.636Z - Humidity: 93%, Temperature: 20C, Analog output: 877
2024-04-28T07:57:50.675Z - Humidity: 94%, Temperature: 21C, Analog output: 853
2024-04-28T07:58:00.713Z - Humidity: 95%, Temperature: 22C, Analog output: 858
2024-04-28T07:58:10.752Z - Humidity: 94%, Temperature: 21C, Analog output: 887
2024-04-28T07:58:20.791Z - Humidity: 95%, Temperature: 22C, Analog output: 859
2024-04-28T07:58:30.834Z - Humidity: 94%, Temperature: 21C, Analog output: 855
2024-04-28T07:58:40.872Z - Humidity: 94%, Temperature: 21C, Analog output: 858
2024-04-28T07:58:50.911Z - Humidity: 94%, Temperature: 21C, Analog output: 877
2024-04-28T07:59:00.950Z - Humidity: 94%, Temperature: 21C, Analog output: 872
2024-04-28T07:59:10.988Z - Humidity: 93%, Temperature: 20C, Analog output: 882
2024-04-28T07:59:21.027Z - Humidity: 93%, Temperature: 20C, Analog output: 858
2024-04-28T07:59:31.066Z - Humidity: 93%, Temperature: 20C, Analog output: 854
2024-04-28T07:59:41.109Z - Humidity: 95%, Temperature: 22C, Analog output: 856
2024-04-28T07:59:51.147Z - Humidity: 94%, Temperature: 21C, Analog output: 887
2024-04-28T08:00:01.186Z - Humidity: 95%, Temperature: 22C, Analog output: 853
2024-04-28T08:00:11.224Z - Humidity: 93%, Temperature: 20C, Analog output: 857
2024-04-28T08:00:21.263Z - Humidity: 94%, Temperature: 21C, Analog output: 854
2024-04-28T08:00:31.301Z - Humidity: 93%, Temperature: 20C, Analog output: 858
2024-04-28T08:00:41.340Z - Humidity: 94%, Temperature: 21C, Analog output: 875
2024-04-28T08:00:51.383Z - Humidity: 94%, Temperature: 21C, Analog output: 859
2024-04-28T08:01:01.421Z - Humidity: 95%, Temperature: 22C, Analog output: 856
2024-04-28T08:01:11.460Z - Humidity: 94%, Temperature: 21C, Analog output: 859
2024-04-28T08:01:21.498Z - Humidity: 93%, Temperature: 20C, Analog output: 856
2024-04-28T08:01:31.537Z - Humidity: 95%, Temperature: 22C, Analog output: 858
2024-04-28T08:01:41.577Z - Humidity: 95%, Temperature: 22C, Analog output: 857
2024-04-28T08:01:51.620Z - Humidity: 93%, Temperature: 20C, Analog output: 857
2024-04-28T08:02:01.657Z - Humidity: 93%, Temperature: 20C, Analog output: 856
2024-04-28T08:02:11.696Z - Humidity: 94%, Temperature: 21C, Analog output: 854
2024-04-28T08:02:21.735Z - Humidity: 95%, Temperature: 22C, Analog output: 858
2024-04-28T08:02:31.773Z - Humidity: 93%, Temperature: 20C, Analog output: 854
2024-04-28T08:02:41.811Z - Humidity: 94%, Temperature: 21C, Analog output: 857
2024-04-28T08:02:51.850Z - Humidity: 94%, Temperature: 21C, Analog output: 851
2024-04-28T08:03:01.892Z - Humidity: 94%, Temperature: 21C, Analog output: 867
2024-04-28T08:03:11.931Z - Humidity: 93%, Temperature: 20C, Analog output: 859
2024-04-28T08:03:21.969Z - Humidity: 95%, Temperature: 22C, Analog output: 871
2024-04-28T08:03:32.008Z - Humidity: 94%, Temperature: 21C, Analog output: 879
2024-04-28T08:03:42.046Z - Humidity: 94%, Temperature: 21C, Analog output: 857
2024-04-28T08:03:52.085Z - Humidity: 93%, Temperature: 20C, Analog output: 860
2024-04-28T08:04:02.123Z - Humidity: 93%, Temperature: 20C, Analog output: 859
2024-04-28T08:04:12.166Z - Humidity: 93%, Temperature: 20C, Analog output: 854
2024-04-28T08:04:22.205Z - Humidity: 94%, Temperature: 21C, Analog output: 869
2024-04-28T08:04:32.244Z - Humidity: 94%, Temperature: 21C, Analog output: 854
2024-04-28T08:04:42.283Z - Humidity: 94%, Temperature: 21C, Analog output: 857
2024-04-28T08:04:52.321Z - Humidity: 93%, Temperature: 20C, Analog output: 874
2024-04-28T08:05:02.360Z - Humidity: 94%, Temperature: 21C, Analog output: 857
2024-04-28T08:05:12.398Z - Humidity: 94%, Temperature: 21C, Analog output: 854
2024-04-28T08:05:22.441Z - Humidity: 94%, Temperature: 21C, Analog output: 855
2024-04-28T08:05:32.480Z - Humidity: 93%, Temperature: 20C, Analog output: 855
2024-04-28T08:05:42.518Z - Humidity: 93%, Temperature: 20C, Analog output: 857
2024-04-28T08:05:52.557Z - Humidity: 93%, Temperature: 20C, Analog output: 859
2024-04-28T08:06:02.596Z - Humidity: 93%, Temperature: 20C, Analog output: 884
2024-04-28T08:06:12.634Z - Humidity: 94%, Temperature: 21C, Analog output: 872


--- Server Started at 2024-04-28T08:06:12.792Z ---
2024-04-28T08:06:13.812Z - Humidity: 93%, Temperature: 20C, Analog output: 869
2024-04-28T08:06:23.848Z - Humidity: 94%, Temperature: 21C, Analog output: 893
2024-04-28T08:06:33.887Z - Humidity: 93%, Temperature: 20C, Analog output: 857
2024-04-28T08:06:43.925Z - Humidity: 94%, Temperature: 21C, Analog output: 824
2024-04-28T08:06:53.968Z - Humidity: 95%, Temperature: 22C, Analog output: 865
2024-04-28T08:07:04.007Z - Humidity: 93%, Temperature: 20C, Analog output: 853
2024-04-28T08:07:14.046Z - Humidity: 94%, Temperature: 21C, Analog output: 859
2024-04-28T08:07:24.085Z - Humidity: 93%, Temperature: 20C, Analog output: 855
2024-04-28T08:07:34.122Z - Humidity: 94%, Temperature: 21C, Analog output: 876
2024-04-28T08:07:44.161Z - Humidity: 94%, Temperature: 21C, Analog output: 859
2024-04-28T08:07:54.201Z - Humidity: 95%, Temperature: 22C, Analog output: 855
2024-04-28T08:08:04.242Z - Humidity: 94%, Temperature: 21C, Analog output: 876
2024-04-28T08:08:14.281Z - Humidity: 95%, Temperature: 22C, Analog output: 864
2024-04-28T08:08:24.319Z - Humidity: 93%, Temperature: 20C, Analog output: 857
2024-04-28T08:08:34.359Z - Humidity: 95%, Temperature: 22C, Analog output: 853
2024-04-28T08:08:44.397Z - Humidity: 93%, Temperature: 20C, Analog output: 857
2024-04-28T08:08:54.435Z - Humidity: 93%, Temperature: 20C, Analog output: 865
2024-04-28T08:09:04.474Z - Humidity: 93%, Temperature: 20C, Analog output: 862
2024-04-28T08:09:14.517Z - Humidity: 93%, Temperature: 20C, Analog output: 895
2024-04-28T08:09:24.555Z - Humidity: 93%, Temperature: 20C, Analog output: 859
2024-04-28T08:09:34.594Z - Humidity: 94%, Temperature: 21C, Analog output: 857
2024-04-28T08:09:44.633Z - Humidity: 93%, Temperature: 20C, Analog output: 877
2024-04-28T08:09:54.671Z - Humidity: 94%, Temperature: 21C, Analog output: 893
2024-04-28T08:10:04.710Z - Humidity: 94%, Temperature: 21C, Analog output: 860
2024-04-28T08:10:14.748Z - Humidity: 94%, Temperature: 21C, Analog output: 859
2024-04-28T08:10:24.791Z - Humidity: 93%, Temperature: 20C, Analog output: 872
2024-04-28T08:10:34.829Z - Humidity: 94%, Temperature: 21C, Analog output: 855
2024-04-28T08:10:44.867Z - Humidity: 94%, Temperature: 21C, Analog output: 860
